Cust_id,account_length,area_code,phone_number,international_plan,Voice_mail_plan,Number_vmail_messages,Total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
Cust_1,128,415,382-4657,no,Yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,FALSE
Cust_2,107,415,371-7191,no,Yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,FALSE
Cust_3,137,415,358-1921,no,No,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,FALSE
Cust_4,84,408,375-9999,yes,No,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,FALSE
Cust_5,75,415,330-6626,yes,No,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,FALSE
Cust_6,118,510,391-8027,yes,No,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,FALSE
Cust_7,121,510,355-9993,no,Yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,FALSE
Cust_8,147,415,329-9001,yes,No,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,FALSE
Cust_9,117,408,335-4719,no,Yes,37,258.6,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,FALSE
Cust_10,141,415,330-8173,yes,No,0,187.7,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,FALSE
Cust_11,65,415,329-6603,no,No,0,128.8,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,TRUE
Cust_12,74,415,344-9403,no,No,0,156.6,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,FALSE
Cust_13,168,408,363-1107,no,No,0,120.7,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,FALSE
Cust_14,95,510,394-8006,no,Yes,27,196.4,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,FALSE
Cust_15,62,415,366-9238,no,No,0,190.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4,FALSE
